"filename", "language", "HTML", "JavaScript", "SCSS", "CSS", "comment", "blank", "total"
"d:\IT\A-  Work\Projects\السندى\Alsendy\about-en.html", "HTML", 535, 0, 0, 0, 18, 69, 622
"d:\IT\A-  Work\Projects\السندى\Alsendy\about.html", "HTML", 537, 0, 0, 0, 18, 71, 626
"d:\IT\A-  Work\Projects\السندى\Alsendy\blog-en.html", "HTML", 433, 0, 0, 0, 12, 60, 505
"d:\IT\A-  Work\Projects\السندى\Alsendy\blog-post-en.html", "HTML", 405, 0, 0, 0, 12, 54, 471
"d:\IT\A-  Work\Projects\السندى\Alsendy\blog-post.html", "HTML", 406, 0, 0, 0, 12, 64, 482
"d:\IT\A-  Work\Projects\السندى\Alsendy\blog.html", "HTML", 434, 0, 0, 0, 12, 68, 514
"d:\IT\A-  Work\Projects\السندى\Alsendy\branches-en.html", "HTML", 448, 0, 0, 0, 12, 77, 537
"d:\IT\A-  Work\Projects\السندى\Alsendy\branches.html", "HTML", 449, 0, 0, 0, 12, 76, 537
"d:\IT\A-  Work\Projects\السندى\Alsendy\clients-en.html", "HTML", 685, 0, 0, 0, 12, 74, 771
"d:\IT\A-  Work\Projects\السندى\Alsendy\clients.html", "HTML", 693, 0, 0, 0, 12, 77, 782
"d:\IT\A-  Work\Projects\السندى\Alsendy\contact-en.html", "HTML", 343, 0, 0, 0, 12, 68, 423
"d:\IT\A-  Work\Projects\السندى\Alsendy\contact.html", "HTML", 344, 0, 0, 0, 12, 68, 424
"d:\IT\A-  Work\Projects\السندى\Alsendy\en.html", "HTML", 509, 0, 0, 0, 20, 77, 606
"d:\IT\A-  Work\Projects\السندى\Alsendy\fonts\stylesheet.css", "CSS", 0, 0, 0, 81, 0, 10, 91
"d:\IT\A-  Work\Projects\السندى\Alsendy\images-en.html", "HTML", 411, 0, 0, 0, 12, 55, 478
"d:\IT\A-  Work\Projects\السندى\Alsendy\images.html", "HTML", 412, 0, 0, 0, 12, 66, 490
"d:\IT\A-  Work\Projects\السندى\Alsendy\index.html", "HTML", 510, 0, 0, 0, 20, 81, 611
"d:\IT\A-  Work\Projects\السندى\Alsendy\js\script.js", "JavaScript", 0, 200, 0, 0, 23, 104, 327
"d:\IT\A-  Work\Projects\السندى\Alsendy\kreston-en.html", "HTML", 303, 0, 0, 0, 12, 57, 372
"d:\IT\A-  Work\Projects\السندى\Alsendy\kreston.html", "HTML", 304, 0, 0, 0, 12, 65, 381
